officer_id,allegation_id,race,gender,cr_text,id,disciplined,allegation_count
3784,1062035,"",M,"Initial / Intake Allegation 1: The victim alleges that the accused officers
falsely arrested him while at the above
location.
The victim alleges that the accused
officers falsely arrested him while at the
above location.
Initial / Intake Allegation 4: The victim alleges that the accused
officers falsely arrested him while at the
above location.
The victim alleges that the accused officers
falsely arrested him while at the above
location.
Allegation 2: Itis alleged that on 17 OCT 12/ 1909 hrs.
while at]
P.O. Gabriel CAMPOS #5930 falsely arreste of Unlawful
Possession of Cannabis.
Itis alleged that on 17 OCT 12/ 1909 hrs. while
P.O. Vincent VASQUEZ #15969 falsely arrestec
Unlawful Possession of Cannabis.
Finding 1: (None Entered)
",229094,,14
15793,1062355,Black,M,"Initial / Intake Allegation 1: 2 grandchildren, at which time he grabbed
his starter pistol to frighten the dogs away.
The accused officer responded to the
scene, refused to listen to his side of the
story and was verbally abusive toward him.
The accused stated, ""Shut the fuck up. |
should take your motherfucking ass to jail.
You fucking pointed a gun at somebody.”
The accused failed to issue his neighbor a
ticket for her dogs roaming the alley without
leashes.
Initial / Intake Allegation 4: The reporting party alleged that he called
""911"" to report that his neighbor's 2 pit bulls
were in his garage threatening him and his
2 grandchildren, at which time he grabbed
his starter pistol to frighten the dogs away.
The accused officer responded to the
scene, refused to listen to his side of the
story and was verbally abusive toward him.
The accused stated, “Shut the fuck up. |
should take your motherfucking ass to jail.
You fucking pointed a gun at somebody.”
The accused failed to issue his neighbor a
ticket for her dogs roaming the alley without
leashes.
",229319,false,5
9736,1062360,Black,M,"Initial / Intake Allegation 1: Consequently, his
Initial / Intake Allegation 4: The reporting party alleged that the accused
handcuffed him, placed him in the backseat
of the squad car and transported (against
his will)to Loretta hospital for a mental
evaluation. The accused failed to allow him
to secure his apartment. Consequently, his
apartment was vandalized.
",229327,false,7
10166,1062631,White,M,"Initial / Intake Allegation 1: The reporting party alleged that the accused
officer interfered with a lawful repossession
in that he called several people to reach
unknown on-duty officers who responded
and told the reporting party not to repossess
the vehicle.
The reporting party alleged that the accused
officer told him that ""he wasn't going to win
with anyone here today” regarding a
repossession.
Initial / Intake Allegation 4: The reporting party alleged that the accused
officer interfered with a lawful repossession
in that he called several people to reach
unknown on-duty officers who responded
and told the reporting party not to repossess
the vehicle.
‘The reporting party alleged that the accused
officer told him that ""he wasn't going to win
with anyone here today” regarding a
repossession.
Finding 1: (None Entered)
",229491,,57
5624,1064204,Black,F,"Initial / Intake Allegation 1: The complainant alleged that the accused
officer obtained a check from their foster
mother, forged her signature and deposited
it into an account that the accused officer
has control over.
Initial / Intake Allegation 5: The complainant alleged that the accused
officer obtained a check from their foster
mother, forged her signature and deposited
it into an account that the accused officer
has control over.
Allegation 2: It is alleged, by the Reporting Party, that on 05 July 2013, between the
hours of 0001-2359 and at the location ¢
accused forged theif woe nwurers signature on a
Unevn sie 1raa optained from their foster mother and deposited it into an
account that the accused has control over.
Finding 1: (None Entered)
",230505,false,19
31847,1065311,Black,M,"Initial / Intake Allegation 1: THE REPORTING PARTY ALLEGES THAT
THE ACCUSED OFFICERS HARASSED
HIM. HE ALLEGES THAT THEY STOPPED
HIM, SEARCHED HIM AND
HANDCUFFED HIM WITHOUT
JUSTIFICATION. HE ALSO ALLEGES
THAT THEY REFERRED TO HIM AS A
“LOW-LIFE"".
Initial / Intake Allegation 4: THE REPORTING PARTY ALLEGES THAT
THE ACCUSED OFFICERS HARASSED
HIM. HE ALLEGES THAT THEY STOPPED
HIM, SEARCHED HIM AND
HANDCUFFED HIM WITHOUT
JUSTIFICATION. HE ALSO ALLEGES
THAT THEY REFERRED TO HIM AS A
“LOW-LIFE"".
Allegation 2: THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICERS
HARASSED HIM. HE ALLEGES THAT THEY STOPPED HIM,
SEARCHED HIM AND HANDCUFFED HIM WITHOUT JUSTIFICATION.
HE ALSO ALLEGES THAT THEY REFERRED TO HIM AS A ""LOW-LIFE""
THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICERS
HARASSED HIM. HE ALLEGES THAT THEY STOPPED HIM,
SEARCHED HIM AND HANDCUFFED HIM WITHOUT JUSTIFICATION.
HE ALSO ALLEGES THAT THEY REFERRED TO HIM AS A ""LOW-LIFE""
Finding 1: (None Entered)
",231179,false,57
31138,1065313,"",M,"Initial / Intake Allegation 1: The complainant alleged that the accused
officer arrested the subject without
justification.
The complainant alleged that the accused
officer arrested the subject without
justification.
Initial / Intake Allegation 4: The complainant alleged that the accused
officer arrested the subject without
justification.
The complainant alleged that the accused
officer arrested the subject without
justification.
Allegation 2: It is alleaed that on 20 MAY 13 at approximately 1030hrs a
Chicago, IL Officer Alexander Starks Jr. #16155 arrested
‘without justification
It is alleaed that on 20 MAY 13 at approximately 1030hrs at
Chicago, IL Officer Rama Wolfe #19801 aa
ith out justification
Finding 1: (None Entered)
",231181,false,12
5179,1066206,"","","Initial / Intake Allegation 1: THE REPORTING PARTY ALLEGES THAT
THE ACCUSED OFFICERS ARRESTED
HIM WITHOUT JUSTIFICATION.
Initial / Intake Allegation 4: THE REPORTING PARTY ALLEGES THAT
THE ACCUSED OFFICERS ARRESTED
HIM WITHOUT JUSTIFICATION.
Allegation 2: The complainant, alleges that P.O. Erik D. HANEY, Star
3591, Employee _ 11th District, arrested him without probable
cause on 21 October 2013 at 1905 hours at
The complainant, alleges that P.O. Justin CONNER,
Star 18863, Employee (NNN 4 1th District, arrested him without
probable earica an 9
October 2013 at 1905 hours at
Finding 1: (None Entered)
",231729,false,11
394,1066197,"",F,"Initial / Intake Allegation 1: The plaintiff alleges that he was falsely
arrested for driving under influence while
claiming he was a passenger in said
vehicle, that was impounded, not the driver.
The plaintiff alleges that he was falsely
arrested for driving under influence while
claiming he was a passenger in said
vehicle, that was impounded, not the driver.
The plaintiff alleges that he was falsely
arrested for driving under influence while
claiming he was a passenger in said
vehicle, that was impounded, not the driver.
The plaintiff alleges that he was falsely
arrested for driving under influence while
claiming he was a passenger in said
vehicle, that was impounded, not the driver.
The plaintiff alleges that he was falsely
arrested for driving under influence while
claiming he was a passenger in said
vehicle, that was impounded, not the driver.
Initial / Intake Allegation 5: The plaintiff alleges that he was falsely
arrested for driving under influence while
claiming he was a passenger in said
vehicle, that was impounded, not the driver.
The plaintiff alleges that he was falsely
arrested for driving under influence while
claiming he was a passenger in said
vehicle, that was impounded, not the driver.
The plaintiff alleges that he was falsely
arrested for driving under influence while
claiming he was a passenger in said
vehicle, that was impounded, not the driver.
The plaintiff alleges that he was falsely
arrested for driving under influence while
claiming he was a passenger in said
vehicle, that was impounded, not the driver.
The plaintiff alleges that he was falsely
arrested for driving under influence while
claiming he was a passenger in said
vehicle, that was impounded, not the driver.
Allegation 2: Reporting Third Party Ato alleges that on 08 MAY
2013 (2000 hrs) while at 5 fhicago, IL,
Plaintiff was falsely arrested for Driving Under the
Influence by Sgt. Jeffrey ALLEN #1851 (015), P.O. Steve JEDD #14361
(015), P.O. Lawrence BOND #11940 (015), P.O. Joseph RAMIREZ
#19248 (015) and P.O. Jose VELEZ #19367 (015).
Reporting Third Party Attome| les that on 08 MAY
2013 (2000 hrs) while at , Chicago, IL,
Plaintiff JE was falsely arrested for Driving Under the
Influence by Sgt. Jeffrey ALLEN #1851 (015), P.O. Steve JEDD #14361
(015), P.O. Lawrence BOND #11940 (015), P.O. Joseph RAMIREZ
#19248 (015) and P.O. Jose VELEZ #19367 (015)
Reporting Third Party Attorney| Jeges that on 08 MAY
2013 (2000 hrs) while at
Plaintiff. | —__.. was falsely arrested for Driving Under the
Influence by Sgt. Jeffrey ALLEN #1851 (015), P.O. Steve JEDD #14361
(015), P.O. Lawrence BOND #11940 (015), P.O. Joseph RAMIREZ
#19248 (015) and P.O, Jose VELEZ #19367 (015)
Reporting Third Party Attorney| ges that on 08 MAY
2013 (2000 hrs) while atl
Plaintiff was falsely arrested for Driving Under the
Influence by Sgt. Jeffrey ALLEN #1851 (015), P.O. Steve JEDD #14361
(015), P.O. Lawrence BOND #11940 (015), P.O. Joseph RAMIREZ
#19248 (015) and P.O. Jose VELEZ #19367 (015)
Reporting Third Party Attornev I"" lleges that on 08 MAY
2013 (2000 hrs) While 2 IIIs —
Plaintiff was falsely arrested for Driving Under the
Influence by Sgt. Jeffrey ALLEN #1851 (015), P.O. Steve JEDD #14361
(015), P.O. Lawrence BOND #11940 (015), P.O. Joseph RAMIREZ
#19248 (015) and P.O. Jose VELEZ #19367 (015).
 
Finding 1: (None Entered)
",222220,false,8
18872,1073222,Hispanic,F,"Initial / Intake Allegation 1:  The reporting party related that she
obtained a case report (HX559171) against
the witness regarding their child custody
dispute. She alleged that the accused
officer disseminated information regarding
the report to the witness and told him that
he would change the report to help the
witness in court. The reporting party stated
that the accused officer and witness also
had a conversation about this on Facebook
and that she has pictures of that
conversation.
Initial / Intake Allegation 1: The reporting party related that she
obtained a case report (HX559171) against
the witness regarding their child custody
dispute. She alleged that the accused
officer disseminated information regarding
the report to the witness and told him that
he would change the report to help the
witness in court. The reporting party stated
that the accused officer and witness also
had a conversation about this on Facebook
and that she has pictures of that
conversation.
Allegation 2: It is alleged by the Complainant that on 29
DECEMBER 2014 between 2200 to 2230Hrs at the location of
the Accused Department Member Police Officer Dominic Merola
#7221 disclosed the complainants' personal information. The
Complainant related that the Accused
via telephone on the above date and time and during
tne telephone conversation he informed the
was contacted by Witness
that the
police were at his residence for a check the well being call. The check the
well being call was documented under RD#
(Non-Criminal /
Other Non-Criminal)
Finding 1: (None Entered)
",236917,false,24
